csd_id,metal,mol_idx,shield_rel,shield_nonrel,delta_shield
DALLEK,Ag,5804,3394.987,194.012,3200.975
DALLUA,Ag,5806,3329.787,184.087,3145.7
DEFTOY,Ag,6110,3369.043,193.339,3175.704
DERREY,Ag,6274,3350.114,203.243,3146.871
DIDZOH,Ag,6441,3491.848,199.536,3292.312
DUBBEJ,Ag,7119,-9.594,-43.912,34.318
DUSZOG,Ag,7362,3032.688,164.528,2868.1600000000003
EBAWOX,Ag,7442,3471.173,192.091,3279.082
EBUROI,Ag,7495,3553.195,200.634,3352.561
EDUHIW,Ag,7682,15.543,-7.497,23.04
EFIRIY,Ag,7734,3765.703,215.466,3550.237
EGUZUE,Ag,7877,2902.458,153.729,2748.7290000000003
EHAKIH,Ag,7884,3229.853,170.333,3059.52
EHOHUF,Ag,7945,2969.612,162.196,2807.416
EJAMAE,Ag,7981,3294.846,197.592,3097.254
EJENEN,Ag,8005,3399.122,198.367,3200.7549999999997
ELETOG,Ag,8177,3624.686,205.035,3419.6510000000003
EMALOU,Ag,8229,3411.396,199.305,3212.0910000000003
ENALUB,Ag,8323,3388.697,196.016,3192.681
ERIDIT,Ag,8564,3542.286,194.104,3348.1820000000002
ESERUQ,Ag,8640,3363.726,193.254,3170.472
ETUCEC,Ag,8752,3312.009,194.437,3117.572
EWEVUA,Ag,8840,2903.845,145.528,2758.317
EXAXIL,Ag,8911,2966.795,165.264,2801.531
EYEXAI,Ag,8993,2960.538,172.125,2788.413
EZIWAN,Ag,9095,147.53,138.477,9.052999999999997
FAQSEY,Ag,9366,43.254,23.716,19.537999999999997
FEQHUG,Ag,9765,3004.274,170.595,2833.679
FIKFUE,Ag,10121,3307.766,200.725,3107.041
FILSEZ,Ag,10154,3470.704,204.087,3266.617
FOJLAS,Ag,10528,3369.651,206.474,3163.1769999999997
FUFZAJ,Ag,10856,3355.42,192.221,3163.199
FUQHIJ,Ag,10995,3233.912,190.322,3043.5899999999997
FUZNAR,Ag,11127,2687.817,127.109,2560.708
GAJQOZ,Ag,11251,37.93,18.748,19.182
GALKIQ,Ag,11292,3352.853,186.267,3166.5860000000002
GAMHIO,Ag,11306,3255.489,196.923,3058.566
GECBOH,Ag,11553,3371.663,187.777,3183.886
GIJZAC,Ag,11998,3487.898,194.558,3293.34
GIMWIJ,Ag,12046,3442.109,197.243,3244.866
GIPQAA,Ag,12077,3255.773,175.104,3080.6690000000003
GIRVAH,Ag,12148,2738.186,131.167,2607.0190000000002
GIXHAW,Ag,12217,2469.845,100.265,2369.58
GIXJUW,Ag,12221,3541.364,199.859,3341.505
GUHZEO,Ag,12606,3035.081,166.419,2868.6620000000003
GUKGAW,Ag,12620,3134.797,175.942,2958.855
GUKHOL,Ag,12623,3211.191,182.426,3028.765
GUXNAO,Ag,12827,3360.706,188.907,3171.799
HAGHAA,Ag,12956,3411.98,193.367,3218.613
HARNIA,Ag,13148,60.454,45.205,15.249000000000002
HAWPIF,Ag,13213,3854.455,236.977,3617.478
HAYGEV,Ag,13249,3258.102,192.808,3065.294
HEBMAD,Ag,13315,3286.876,196.993,3089.8830000000003
HEBMUX,Ag,13316,3245.363,187.017,3058.346
HEBNEI,Ag,13317,3342.72,203.121,3139.5989999999997
HECYAQ,Ag,13337,3279.008,192.717,3086.2909999999997
HIBPAK,Ag,13696,3346.805,205.185,3141.62
HIKZAE,Ag,13854,2668.37,124.055,2544.315
HIMXIM,Ag,13890,3281.187,195.438,3085.749
HIPVEH,Ag,13936,2965.785,169.332,2796.453
HIRKAX,Ag,13958,3454.126,200.172,3253.954
HITQEH,Ag,14023,2888.443,149.105,2739.338
IBEJAD,Ag,14857,66.619,61.285,5.334000000000003
IDUROR,Ag,15095,3364.342,190.071,3174.271
IFEVEX,Ag,15124,3204.745,172.841,3031.904
IGUXAK,Ag,15280,3314.232,202.554,3111.678
IHUPOS,Ag,15374,60.388,48.231,12.156999999999996
IJEVOL,Ag,15407,3335.909,206.941,3128.9680000000003
IJEWUS,Ag,15413,3329.927,205.746,3124.181
INULIM,Ag,15779,3080.595,156.474,2924.1209999999996
IPECUC,Ag,15803,3430.832,199.854,3230.978
IPEPAU,Ag,15817,3130.512,173.68,2956.8320000000003
IQAHIS,Ag,15886,3463.533,190.587,3272.946
ITADAK,Ag,16091,50.665,35.389,15.275999999999996
ITAFAM,Ag,16094,56.426,42.864,13.562000000000005
ITAZEK,Ag,16103,3281.143,196.622,3084.521
IXEGUO,Ag,16336,3334.635,203.954,3130.681
IXUTAY,Ag,16377,2888.948,144.296,2744.652
IYARAE,Ag,16398,3553.911,207.418,3346.493
IZIGIK,Ag,16489,3365.351,183.631,3181.7200000000003
JARBAJ,Ag,16749,3300.484,196.345,3104.139
JARYEK,Ag,16766,3292.395,197.122,3095.273
JELXIK,Ag,17030,3528.956,197.132,3331.824
JEYDIB,Ag,17184,3543.935,213.602,3330.333
JEYDUN,Ag,17185,3543.63,207.837,3335.793
JIJDEP,Ag,17248,5331.369,479.033,4852.335999999999
JIMBUD,Ag,17280,3430.394,202.316,3228.078
JOCVIJ,Ag,17519,3222.826,180.609,3042.217
JOHLEY,Ag,17583,3264.574,195.087,3069.487
JOVLEO,Ag,17740,3408.037,188.481,3219.5559999999996
JOVMOY,Ag,17742,3336.615,203.732,3132.883
KADDOJ,Ag,18120,3150.578,181.134,2969.444
KAYLEC,Ag,18490,2874.945,131.639,2743.306
KIBLEO,Ag,18919,2841.839,132.94,2708.899
KUMFUT,Ag,19729,3443.72,206.691,3237.029
KUMGAA,Ag,19731,3464.567,213.182,3251.385
KUMLEK,Ag,19747,3322.972,202.316,3120.6560000000004
KUMSER,Ag,19754,60.826,45.265,15.561
KUVTUR,Ag,19857,3317.835,191.083,3126.752
LEJKOD,Ag,20438,2834.359,148.613,2685.746
LEXYET,Ag,20721,3546.411,205.864,3340.547
LEYBIB,Ag,20730,3339.061,188.725,3150.3360000000002
LEZDEA,Ag,20755,3399.876,196.115,3203.7610000000004
LEZFIG,Ag,20757,3086.904,161.236,2925.668
LIJZOU,Ag,20938,2987.848,156.198,2831.65
LOGCOB,Ag,21331,3286.865,199.174,3087.691
LUKZUO,Ag,21676,3504.241,192.996,3311.245
LUMYUQ,Ag,21717,3297.791,197.155,3100.636
LUSWAA,Ag,21792,3355.296,201.16,3154.136
LUXHOB,Ag,21861,3337.328,205.406,3131.922
LUZKIA,Ag,21903,3966.52,232.917,3733.603
MABQUD,Ag,21931,20.747,-9.519,30.266
MACVES,Ag,21948,3311.358,199.484,3111.8740000000003
MASSUX,Ag,22252,53.76,34.956,18.803999999999995
MAVPEF,Ag,22279,3036.886,169.206,2867.68
MAXMAD,Ag,22314,3569.915,209.187,3360.728
MAYBAQ,Ag,22328,3522.25,200.128,3322.122
MAYBOE,Ag,22330,3317.349,178.646,3138.703
MEWCOG,Ag,22681,3207.043,162.808,3044.235
MOHNAZ,Ag,23307,43.75,24.394,19.356
MUQPOE,Ag,23782,174.644,168.941,5.703000000000003
MUTHAK,Ag,23831,3440.933,189.003,3251.93
FUZNAR,Ag,23918,2687.765,127.103,2560.662
NAPQAA,Ag,24161,3512.713,211.668,3301.045
NASLAW,Ag,24243,2679.697,126.399,2553.2980000000002
NEVNUA,Ag,24699,206.443,208.488,-2.0449999999999875
NEYSIW,Ag,24761,3340.761,188.177,3152.584
NEYSOC,Ag,24762,3414.015,199.289,3214.7259999999997
NEYTAP,Ag,24764,3423.999,200.775,3223.2239999999997
NIYTOF,Ag,25222,3667.583,207.955,3459.628
NOBNIB,Ag,25261,3110.545,160.865,2949.6800000000003
NOLGED,Ag,25388,26.5,15.745,10.755
NOLMEH,Ag,25395,3030.264,168.448,2861.8160000000003
NUCNIJ,Ag,25725,3218.585,187.771,3030.814
NUCRIO,Ag,25726,3387.101,212.124,3174.9770000000003
OCEHIR,Ag,26037,2164.854,11.085,2153.769
OCUGIC,Ag,26098,3331.324,209.403,3121.9210000000003
ODABUQ,Ag,26122,3369.021,191.346,3177.675
OFASAQ,Ag,26244,3046.218,157.75,2888.468
ONUJIS,Ag,26908,3621.407,201.616,3419.791
OPUHUD,Ag,26971,42.876,29.522,13.354
OSAJID,Ag,27073,3404.677,196.639,3208.038
OVAVEN,Ag,27181,3320.244,202.755,3117.489
OWUXUC,Ag,27308,3404.078,199.323,3204.755
PELLAV,Ag,28006,3403.767,199.33,3204.437
PELNIG,Ag,28009,2173.695,10.98,2162.715
PIHTOS,Ag,28339,3410.549,189.178,3221.371
PIJLIH,Ag,28354,3166.155,206.976,2959.179
PIJNAA,Ag,28358,3416.044,198.476,3217.5679999999998
PITKUA,Ag,28482,3659.988,208.82,3451.1679999999997
PURVEF,Ag,29149,2732.925,132.259,2600.666
QAHBIO,Ag,29365,3275.32,194.287,3081.0330000000004
QAPREI,Ag,29558,3199.879,166.461,3033.4179999999997
QARDEU,Ag,29601,93.35,87.57,5.780000000000001
QECZIH,Ag,29843,3466.86,186.128,3280.732
QERREN,Ag,30069,41.055,23.281,17.774
QEZNES,Ag,30190,2295.038,35.301,2259.737
QEZNOC,Ag,30191,2316.157,36.953,2279.204
QEZPAQ,Ag,30194,2303.518,35.718,2267.8
QIWYOM,Ag,30535,3563.795,201.246,3362.549
QODVIP,Ag,30657,3485.402,192.57,3292.832
QOWLOD,Ag,30887,3015.603,148.384,2867.219
QOZGAO,Ag,30941,3293.046,194.18,3098.866
RACZIF,Ag,31333,3816.685,219.008,3597.677
RAGFOY,Ag,31384,3302.067,197.809,3104.258
RAKQAZ,Ag,31457,3508.952,193.422,3315.53
RANDES,Ag,31544,3359.91,208.637,3151.2729999999997
RAWVIV,Ag,31742,3353.787,189.4,3164.3869999999997
RAYXUL,Ag,31780,3392.805,188.699,3204.1059999999998
RAZBIE,Ag,31789,3604.651,199.051,3405.6
REHHUI,Ag,31947,3718.812,206.628,3512.1839999999997
RIGCIV,Ag,32355,23.597,-6.523,30.12
RILXAP,Ag,32419,26.667,2.523,24.144000000000002
RUWCUJ,Ag,33294,218.298,184.646,33.652000000000015
RUZVOY,Ag,33344,3157.808,171.17,2986.638
RUZWAL,Ag,33345,3236.196,182.735,3053.461
SAYZAT,Ag,33709,3005.647,162.267,2843.38
SAZXUN,Ag,33724,2967.531,157.888,2809.643
SCYNAG,Ag,33728,3384.568,198.449,3186.119
SEBNET,Ag,33738,3237.682,186.937,3050.745
SEYLEP,Ag,34092,3387.152,185.045,3202.107
SIDXIN,Ag,34174,2846.595,138.253,2708.3419999999996
SIHKEZ,Ag,34224,2671.012,124.952,2546.0600000000004
SIQTAN,Ag,34364,3133.005,165.086,2967.919
SIZHUH,Ag,34523,3371.699,208.459,3163.2400000000002
SOYXUB,Ag,34909,3347.88,182.374,3165.5060000000003
SUDQEN,Ag,34961,3434.406,189.297,3245.109
SUFHOQ,Ag,34966,4040.24,241.668,3798.5719999999997
TAJJUM,Ag,35366,3338.902,208.993,3129.909
TAMTUX,Ag,35420,3356.166,204.441,3151.7250000000004
TEBDOV,Ag,35628,3466.463,204.42,3262.043
TECSOK,Ag,35656,3709.34,205.688,3503.652
TEFJOE,Ag,35673,52.81,39.805,13.005000000000003
TEJKIF,Ag,35734,1001.747,1071.968,-70.22100000000012
TEXXEA,Ag,35942,3065.774,160.166,2905.6079999999997
TEXXUQ,Ag,35943,3058.583,159.308,2899.275
TEXZEC,Ag,35946,2962.575,154.949,2807.6259999999997
TEYBUV,Ag,35950,3452.491,201.528,3250.963
TOFRIS,Ag,36387,5163.872,475.687,4688.185
TORPAT,Ag,36560,3190.634,185.266,3005.368
TUDTIW,Ag,36709,3402.237,199.15,3203.087
TUMYUX,Ag,36862,-80.4,-193.868,113.46799999999999
TUQVOQ,Ag,36893,3408.389,185.266,3223.123
TUQVUW,Ag,36894,3293.189,173.101,3120.0879999999997
UBEZUW,Ag,37082,3244.671,190.609,3054.062
UDOMIM,Ag,37257,3247.512,178.098,3069.414
UDUHUZ,Ag,37272,3248.572,179.866,3068.706
UKEBAO,Ag,37622,3353.181,210.127,3143.054
UKEGOG,Ag,37629,3047.757,174.116,2873.641
ULIFAW,Ag,37700,3302.852,179.761,3123.091
UPAFAU,Ag,37906,3331.191,202.252,3128.939
UZUJUX,Ag,38469,3106.943,172.597,2934.346
VAFTIF,Ag,38513,2916.385,146.419,2769.9660000000003
VAKXEN,Ag,38588,3226.632,172.232,3054.4
VAQGUT,Ag,38688,3293.643,200.37,3093.273
VIBQIG,Ag,39245,3300.212,202.328,3097.884
VIMSIU,Ag,39440,2985.245,173.502,2811.743
VINVEV,Ag,39458,3518.046,192.707,3325.339
VIXZIN,Ag,39625,3807.659,218.335,3589.324
VUMXIM,Ag,40173,2733.142,133.078,2600.064
WACWIJ,Ag,40342,64.176,38.734,25.442
WACWOP,Ag,40343,2757.585,137.741,2619.844
WEVVAU,Ag,41071,2935.243,156.422,2778.821
WILYIB,Ag,41321,57.504,41.596,15.908000000000001
WOMYIH,Ag,41711,3421.549,199.621,3221.928
WOXNIJ,Ag,41826,3321.51,204.299,3117.2110000000002
WOZQOT,Ag,41852,3309.983,221.857,3088.126
XABPOJ,Ag,42206,3254.476,191.865,3062.611
XABPUP,Ag,42207,3301.785,197.653,3104.132
XAFFEP,Ag,42256,3347.118,180.647,3166.471
XAVDEH,Ag,42567,3497.452,195.264,3302.188
XAVVEY,Ag,42580,3198.205,191.899,3006.306
XEXDIO,Ag,43042,2970.183,156.664,2813.5190000000002
XEXZEH,Ag,43063,3313.847,202.262,3111.585
XEZNID,Ag,43088,3357.361,213.528,3143.833
XOCREO,Ag,43559,3337.297,202.416,3134.881
XOWTOT,Ag,43854,3367.513,207.616,3159.897
XULPUP,Ag,44071,3454.489,202.094,3252.395
XUNGUL,Ag,44101,3392.189,215.799,3176.39
XUNVIO,Ag,44113,3246.539,196.999,3049.5400000000004
YAFXEL,Ag,44395,146.816,138.329,8.486999999999995
YAFZUD,Ag,44398,3466.61,193.533,3273.077
YECVEI,Ag,44771,3286.859,196.391,3090.468
YECWIO,Ag,44773,-5.047,-39.523,34.476000000000006
YECWOU,Ag,44774,-4.257,-38.743,34.486000000000004
YEFMEF,Ag,44834,3532.494,203.778,3328.7160000000003
YEGXOY,Ag,44850,3126.906,164.855,2962.051
YEKGUR,Ag,44915,3275.446,196.759,3078.687
YEKSAL,Ag,44929,33.757,17.038,16.718999999999998
YERMAK,Ag,45012,3352.555,205.868,3146.687
YEVYIK,Ag,45051,3504.469,199.876,3304.593
YEZQOK,Ag,45124,3269.904,196.903,3073.001
YIJJOR,Ag,45249,3317.117,202.426,3114.6910000000003
YINFIL,Ag,45331,3578.074,202.265,3375.809
YOCKEI,Ag,45546,59.659,44.176,15.482999999999997
YONBIO,Ag,45686,2773.956,156.933,2617.023
YOWTAG,Ag,45814,3805.084,218.326,3586.758
YUXVUJ,Ag,46133,3576.14,211.664,3364.4759999999997
YUXWAQ,Ag,46134,3630.274,222.366,3407.908
YUXWEU,Ag,46135,3367.176,194.781,3172.395
YUXXEV,Ag,46137,3577.377,212.43,3364.947
ZECXEO,Ag,46445,2876.066,165.7,2710.366
ZIWFAM,Ag,47080,3168.712,164.572,3004.14
ZOWZUI,Ag,47413,3311.947,201.364,3110.583
ZUGYOP,Ag,47489,2836.645,139.5,2697.145
ABANUN,Au,9,7916.785,218.76,7698.025
ABAPAV,Au,10,7972.287,226.065,7746.222000000001
ABELOK,Au,38,7065.358,178.083,6887.275000000001
AMEBEB,Au,964,7619.197,196.637,7422.56
AMEXIZ,Au,985,6239.47,140.268,6099.202
AQAHUV,Au,1157,7851.569,218.383,7633.186000000001
AREGIQ,Au,1250,6041.328,133.958,5907.370000000001
ASOWEN,Au,1365,7453.181,189.287,7263.893999999999
AXESEC,Au,1611,7860.524,197.717,7662.807000000001
AYIYAI,Au,1712,7912.584,209.292,7703.2919999999995
AZECAL,Au,1758,7968.809,214.683,7754.126
BAPNAI,Au,2044,7923.149,215.625,7707.524
BAZSEB,Au,2204,5857.33,88.281,5769.049
BEDKAA,Au,2243,6659.608,115.447,6544.161
BEDXUH,Au,2257,6730.666,117.611,6613.055
BEQDUY,Au,2431,7541.698,200.635,7341.063
BESYOQ,Au,2499,69.753,45.367,24.386000000000003
BEWTUU,Au,2549,7551.195,198.259,7352.936
BEXBIQ,Au,2550,7621.28,194.225,7427.054999999999
BICWUJ,Au,2642,6239.93,139.958,6099.972000000001
BICZUI,Au,2646,7139.998,174.696,6965.302
BIWJID,Au,2882,7490.612,192.125,7298.487
BOHWIE,Au,3044,6323.74,146.765,6176.974999999999
BOJPIC,Au,3065,36.77,21.887,14.883000000000003
BOLMUM,Au,3116,7424.806,187.83,7236.976
BORCET,Au,3189,7447.958,198.119,7249.839
BUFXEH,Au,3358,7621.841,196.675,7425.166
BUFZIN,Au,3360,6143.244,139.386,6003.857999999999
BUHZUB,Au,3382,6383.999,115.968,6268.031
BUJCEQ,Au,3383,7419.866,190.093,7229.773
BUVBUQ,Au,3531,7466.919,193.945,7272.974
BUVCEB,Au,3533,7515.846,190.598,7325.248
BUVDAY,Au,3536,7571.872,197.613,7374.259
CAQTET,Au,3852,7996.284,195.699,7800.585
CARCEF,Au,3866,7365.909,189.781,7176.128
CATCIM,Au,3895,43.158,24.1,19.058
CEPCAD,Au,4222,6470.031,118.133,6351.898
CIBHOO,Au,4478,6037.958,95.749,5942.209
CIFTER,Au,4538,7499.626,192.118,7307.508
CIFVEU,Au,4542,7789.854,194.428,7595.426
CIGCOK,Au,4550,7709.313,201.696,7507.617
CIZCOG,Au,4852,7914.337,209.14,7705.197
COBBAZ,Au,4874,8099.408,202.718,7896.6900000000005
COCGIO,Au,4899,7878.619,200.825,7677.794
COCHOV,Au,4903,7939.252,207.629,7731.6230000000005
COCJIR,Au,4907,7926.538,210.009,7716.5289999999995
COCJOX,Au,4909,7919.709,209.593,7710.116
COCJUD,Au,4911,7932.566,210.026,7722.54
COCKAK,Au,4912,8020.606,213.511,7807.094999999999
COCKEO,Au,4913,8031.915,217.767,7814.148
COCKIS,Au,4914,8033.492,218.001,7815.491
COCQUH,Au,4921,7696.925,207.467,7489.4580000000005
COCSAP,Au,4923,7765.279,210.488,7554.791
COGJOY,Au,4994,6410.224,105.861,6304.363
COPZEP,Au,5102,5475.097,60.156,5414.941
COZXIB,Au,5253,7549.406,200.91,7348.496
CTPOAU,Au,5289,7898.916,207.777,7691.139
CTPPAU,Au,5290,7979.45,211.641,7767.809
CUFLAS,Au,5340,7946.373,215.571,7730.802
CUNWUF,Au,5461,37.978,36.773,1.2049999999999983
CUQNUY,Au,5484,7843.587,212.018,7631.569
CUQPAG,Au,5485,7731.654,208.429,7523.225
CUQPEK,Au,5486,7728.24,208.433,7519.807
CUYJUB,Au,5582,7878.065,212.799,7665.266
DADHEV,Au,5635,8071.224,203.375,7867.849
DALYOF,Au,5814,7936.006,209.517,7726.4890000000005
DAQWAT,Au,5907,7778.123,203.19,7574.933
DAVHIR,Au,5947,7887.367,208.539,7678.828
DAWWUW,Au,5972,12.649,-19.431,32.08
DECNOP,Au,6048,7846.281,208.099,7638.182
DECSOW,Au,6050,5901.666,122.583,5779.0830000000005
DECSUC,Au,6051,42.447,23.19,19.257
DEPCIK,Au,6230,7572.62,197.659,7374.961
DIBYEW,Au,6408,7241.55,186.6,7054.95
DIGRES,Au,6475,7618.185,200.34,7417.845
DILWEE,Au,6543,7605.482,195.761,7409.721
DIPDUE,Au,6558,6832.467,133.076,6699.391
DIWYEQ,Au,6686,8139.212,205.66,7933.552000000001
DIWYIU,Au,6687,6668.091,118.177,6549.914000000001
DIWZAN,Au,6690,7205.566,158.221,7047.344999999999
DODXID,Au,6798,6432.148,88.006,6344.142
DONLAV,Au,6945,7914.265,215.964,7698.301
DOSFUO,Au,6997,7394.71,193.4,7201.31
DOYPOY,Au,7077,6638.486,112.669,6525.817
DUCYIM,Au,7141,6616.554,107.973,6508.581
DUNQOV,Au,7286,7759.821,202.862,7556.959
DUNSAJ,Au,7290,7942.293,208.159,7734.134
DUZCOS,Au,7408,6051.062,125.536,5925.526
DUZZII,Au,7423,7410.917,192.163,7218.754000000001
EBEZET,Au,7462,7431.522,192.979,7238.543
EBOMIR,Au,7472,7926.302,214.373,7711.929
EBUXEE,Au,7499,8051.136,207.798,7843.338000000001
ECIHOO,Au,7532,7650.226,198.139,7452.0869999999995
ECINAG,Au,7537,6389.727,153.659,6236.068
ECONOD,Au,7565,7497.923,187.938,7309.985
ECOPOF,Au,7572,7393.772,183.725,7210.047
ECOPUL,Au,7573,7399.486,183.95,7215.536
EFELEJ,Au,7711,7526.563,194.1,7332.463
EFUHAQ,Au,7760,7961.107,218.852,7742.255
EFUNUQ,Au,7764,7556.78,193.791,7362.989
EHENUD,Au,7903,42.155,21.527,20.628
EHEPAL,Au,7906,6638.77,113.569,6525.201
EHEPEP,Au,7908,6686.42,116.821,6569.599
EJAMOS,Au,7984,672.468,813.133,-140.66500000000008
EJAMUY,Au,7985,6478.002,122.693,6355.309
EJAQAI,Au,7996,7827.773,211.138,7616.635
EMUKUS,Au,8304,7546.317,201.913,7344.404
EMULAZ,Au,8305,7568.406,207.293,7361.113
ENEJUC,Au,8345,7927.034,212.763,7714.271
EPADOQ,Au,8392,6453.192,121.775,6331.417
EPUHUV,Au,8428,7913.32,209.45,7703.87
EQODOG,Au,8503,7485.892,189.058,7296.834
EQOHAW,Au,8508,7414.254,183.984,7230.2699999999995
ESEXIJ,Au,8648,7732.463,209.467,7522.996
ESITAE,Au,8660,7562.505,178.416,7384.089
EWEKOH,Au,8838,7883.451,205.497,7677.954
EWIHIE,Au,8848,7982.512,213.132,7769.38
FABWIS,Au,9135,7963.612,215.093,7748.519
FAGKOO,Au,9184,6043.439,74.189,5969.25
FAHMUA,Au,9209,6136.68,103.234,6033.446
FAJYIC,Au,9253,6350.746,121.903,6228.843
FANRIZ,Au,9313,7534.682,187.767,7346.915
FAWYIM,Au,9456,7454.15,185.592,7268.558
FAWYOS,Au,9457,7474.473,191.57,7282.903
FAWZEJ,Au,9460,7657.043,197.054,7459.989
FAXBIQ,Au,9468,7524.633,176.485,7348.148
FEDTUF,Au,9551,6859.003,121.024,6737.978999999999
FEYCIX,Au,9930,6798.233,166.231,6632.002
FEYTEI,Au,9948,6748.662,118.203,6630.459
FIBVEV,Au,9991,7556.592,197.904,7358.688
FIHYII,Au,10099,7873.622,208.655,7664.967000000001
FIJZIH,Au,10118,6297.083,116.401,6180.682
FIMSIF,Au,10168,8109.238,202.875,7906.363
FIMSOL,Au,10169,8095.056,203.004,7892.052
FIMSUR,Au,10170,8089.957,203.205,7886.752
FIMTAY,Au,10171,8151.233,205.562,7945.671
FIMTIG,Au,10173,8090.357,204.035,7886.322
FIMTOM,Au,10174,8080.845,204.359,7876.486
FIMTUS,Au,10176,8093.938,203.796,7890.142
FIMVAA,Au,10177,8005.656,222.162,7783.494
FIMVOO,Au,10179,7958.248,194.357,7763.891
FIMWAB,Au,10180,7986.914,197.172,7789.742
FIQHUM,Au,10223,6905.876,155.758,6750.118
FIQTIL,Au,10242,7929.364,207.525,7721.839
FIRWAF,Au,10276,173.976,168.385,5.591000000000008
FIRWEJ,Au,10277,7856.94,214.04,7642.9
FIRXAG,Au,10281,6447.717,166.241,6281.476
FOBXID,Au,10409,8087.114,204.246,7882.8679999999995
FOFLOD,Au,10472,7942.674,202.077,7740.597
FOPTEK,Au,10633,7464.859,197.246,7267.613
FOXNOY,Au,10764,4905.414,471.141,4434.273
FUJYER,Au,10913,803.509,930.056,-126.54700000000003
GACTEL,Au,11170,248.667,239.48,9.187000000000012
GASROL,Au,11422,7914.469,212.355,7702.1140000000005
GILKOD,Au,12019,6518.309,140.059,6378.25
GOGFIR,Au,12325,8028.902,195.752,7833.15
GOYBII,Au,12509,7725.722,203.87,7521.852
GOYVUL,Au,12523,8058.779,206.269,7852.51
GOZTEU,Au,12531,7852.835,211.104,7641.731
GUKKOO,Au,12626,6913.736,168.105,6745.631
GUMBUO,Au,12661,124.51,127.212,-2.701999999999998
GUMSOX,Au,12668,7902.527,194.087,7708.4400000000005
GUPRUH,Au,12700,7809.199,204.388,7604.811
GUSRUK,Au,12756,7767.556,202.371,7565.1849999999995
GUVFAG,Au,12791,6889.538,133.786,6755.7519999999995
HAFFOK,Au,12942,6373.303,97.132,6276.171
HAJWAS,Au,13020,69.88,45.415,24.464999999999996
HARWII,Au,13155,7427.251,186.371,7240.88
HAZDIX,Au,13282,7981.384,204.015,7777.369
HECCUN,Au,13325,7984.212,220.287,7763.925
HEFQUE,Au,13402,6038.004,95.749,5942.255
HEHGIN,Au,13434,7585.752,195.805,7389.947
HIFPUL,Au,13750,7940.678,209.072,7731.606
HIFQIA,Au,13752,7892.039,205.974,7686.065
HIHCIK,Au,13782,6565.079,105.623,6459.456
HIJCOT,Au,13806,7625.583,198.301,7427.281999999999
HISDAS,Au,13972,7374.997,190.497,7184.5
HIYHUT,Au,14099,7871.949,208.887,7663.062
HOSHII,Au,14368,6557.014,105.32,6451.694
HOVCIE,Au,14416,5976.428,79.518,5896.91
HUDMEY,Au,14540,7484.169,194.091,7290.0779999999995
HUKQUB,Au,14608,7990.435,212.019,7778.416
HUMBAS,Au,14619,7429.253,190.819,7238.433999999999
HURVIC,Au,14728,8029.913,211.113,7818.799999999999
HUXZIM,Au,14796,6564.501,139.853,6424.648
ICUMEY,Au,15016,6248.046,115.637,6132.409000000001
IFIQUK,Au,15145,7986.972,218.489,7768.483
IFOBUD,Au,15152,28.43,11.794,16.636
IFUJOK,Au,15174,7501.517,191.566,7309.951
IGEBAX,Au,15197,8037.431,203.175,7834.255999999999
IGECOP,Au,15199,7413.455,197.547,7215.908
IJAQEP,Au,15389,6495.595,127.929,6367.666
IJEVUR,Au,15408,7596.634,198.375,7398.259
